id;company_id;company_code;company_name;address;contact_person;phone_number;active
1;5cf2bc99-2721-407d-992b-a00fbdf302f2;methodology Albania;Home Namibia;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;true
2;70d9a271-0fff-49c6-8013-a37a197d02e6;Tuna;hardware Costa Rica Mayotte;Industrial;connect Markets Chief;capacitor archive;true
3;380f5d6b-48d9-45f4-9842-4c210f6c6340;overriding;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;moratorium moratorium;true
4;9a4e8761-fbdc-4b83-8470-8b6107130ea7;Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;Refined Squares;false
5;26ee85c1-e55e-4143-a60d-5d40288673b1;24/7;Gloves sky blue Oklahoma;robust Engineer;Exclusive Moroccan Dirham card;zero tolerance;false
6;49f86004-5ea3-4a28-b7f8-39a1c533bc57;Orchestrator deliver;Licensed hacking installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;false
7;2fb668ed-2a5b-413e-8eb4-3a2df88843f1;Customer Human deposit;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing;Dynamic Home Loan Account Tools;false
8;faf04248-7b7a-4f32-b037-52b5abdba498;Berkshire;dedicated Persevering;Coordinator Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;false
9;b7490ca0-2ff7-4f4e-a5b0-fe568f9ffd14;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;true
10;5bdb2bb5-844c-46c4-99e1-808ac3a1b6c0;FTP Tools California;North Dakota Garden;Towels Specialist;Utah Computers Small Fresh Gloves;Brunei Darussalam interface;true
